"('Delay Type', 'A')","('Delay Type', 'B')","('Delay Type', 'C')","('Delay Type', 'D')",AirTime,ArrDelay,Cancelled,CarrierDelay,DepDelay,Distance,Flight Count,NASDelay,UniqueCarrier,Year
5696,5449,165,60,26076775,1259315,11370,1322505,2457561,170772547,369336,943557,Comair Inc.,2005
3848,3649,2135,7,31488368,1951749,9639,1925288,2941282,195573943,506998,899679,Skywest Airlines Inc.,2005
184,146,178,,6283330,201896,508,85269,197806,47556475,43586,210796,ATA Airlines d/b/a ATA,2005
3288,2385,623,,69565580,3619476,6296,1575285,4612759,532116122,478744,1862790,United Air Lines Inc.,2005
4075,1968,2380,3,41245827,2765386,8426,1110119,3515474,288955635,416461,1530224,US Airways Inc.,2005
5210,3079,469,1,89969212,5472277,8759,1704389,10423665,628492880,1025637,1276801,Southwest Airlines Co.,2005
1429,4266,3658,,32163447,3497112,9353,807042,2698243,213291464,393277,2182174,Expressjet Airlines Inc.,2005
3570,4324,2233,,90708933,6063887,10127,2169731,6776914,693419014,631769,2822911,American Airlines Inc.,2006
745,,,,2113257,-22367,745,58383,-3908,14781351,34627,9113,Aloha Airlines Inc.,2006
1916,460,51,3,19330085,1428443,2430,660493,1473647,141610317,156483,404416,Alaska Airlines Inc.,2006
659,,,,24477255,1682970,659,400311,1751381,184301996,154265,941829,JetBlue Airways,2006
480,1128,41,,46866151,3469002,1649,878012,3393126,351681979,306682,2106835,Continental Air Lines Inc.,2006
4502,1999,1192,2,62214769,3487025,7695,1560855,4039668,464314553,497279,1995875,Delta Air Lines Inc.,2006
3497,966,2286,34,15240778,3870525,6783,1948308,4371670,134767125,265839,1411270,Atlantic Southeast Airlines,2006
100,802,,,10702535,415007,902,184844,453707,79275188,89196,294499,Frontier Airlines Inc.,2006
998,437,506,,22275007,2221505,1941,426747,2586282,154760543,235211,1073497,AirTran Airways Corporation,2006
249,4,,,4012003,-53574,253,111508,-63173,30675864,51913,2127,Hawaiian Airlines Inc.,2006
8597,5429,5964,,35422482,5758999,19990,1841038,6075136,226234557,528801,2115924,American Eagle Airlines Inc.,2006
3257,921,676,,46065391,3439998,4854,1973299,3005005,330962751,427167,1386330,Northwest Airlines Inc.,2006
3120,3545,196,14,20852995,2402892,6875,1400991,2544892,131716279,270595,1159043,Comair Inc.,2006
3824,4425,4573,22,34466728,4383532,12844,2582623,4729541,216557423,534625,1163852,Skywest Airlines Inc.,2006
148,43,36,,3619749,305400,227,77066,249165,28193870,19365,144784,ATA Airlines d/b/a ATA,2006
5879,3301,1058,,71330736,5132362,10238,1651083,5831704,548162230,488682,2206017,United Air Lines Inc.,2006
3046,1296,1169,,58408068,3303384,5511,1406804,3939983,424539071,498314,1781181,US Airways Inc.,2006
6112,2345,490,4,97213848,5490413,8951,2003472,11224333,682975022,1088617,1382049,Southwest Airlines Co.,2006
542,4121,4975,78,35584592,4608436,9716,1104644,4271628,236250267,429798,2566776,Expressjet Airlines Inc.,2006
4414,2367,2763,,19467488,3425055,9544,1815082,4206546,124121170,294574,642387,Mesa Airlines Inc.,2006
5267,1890,781,1,17819046,2036098,7939,1127692,2285792,116904239,250186,757374,Pinnacle Airlines Inc.,2007
5323,8714,3887,,87445802,8864939,17924,2700300,9066828,675105592,613836,3275624,American Airlines Inc.,2007
388,,,,2857873,-63278,388,77812,20168,19882075,45957,5831,Aloha Airlines Inc.,2007
2187,356,20,,19523921,1455397,2563,722012,1691897,143155532,157123,407621,Alaska Airlines Inc.,2007
1732,1958,21,,28419146,2514827,3710,562553,2767110,213752433,187116,1433643,JetBlue Airways,2007
758,2115,78,,49255764,3277376,2951,906231,3774557,369480546,319138,2177161,Continental Air Lines Inc.,2007
3207,2300,1014,,59924699,3420181,6521,1530087,3686443,447856024,468323,1866371,Delta Air Lines Inc.,2007
4797,2562,1561,,20262743,4756631,8920,2832238,5607544,136346293,276617,1123851,Atlantic Southeast Airlines,2007
202,196,,,11896861,722736,398,279277,721561,87466490,97248,405929,Frontier Airlines Inc.,2007
1264,922,416,,25941349,2062820,2602,502204,2354142,182646240,259869,946465,AirTran Airways Corporation,2007
238,,,,4622763,-24081,238,134564,-49390,35337234,55935,971,Hawaiian Airlines Inc.,2007
5078,11732,5982,,34933880,6706945,22792,2007701,6830165,224000420,516205,2298159,American Eagle Airlines Inc.,2007
4852,1870,1092,,44249534,5097404,7814,2276303,3630596,318162390,405872,1910645,Northwest Airlines Inc.,2007
2262,6297,279,13,17782200,2948438,8851,1393125,2835919,112363280,224471,1203908,Comair Inc.,2007
4444,4845,4889,8,40075342,5151931,14186,2730247,4848850,254654475,582871,1197780,Skywest Airlines Inc.,2007
7348,3554,1027,,69030901,6084387,11929,1838180,6648458,529872242,477090,2262296,United Air Lines Inc.,2007
5594,1900,1448,,55616805,5482173,8942,2042191,5787520,404932885,475583,2192671,US Airways Inc.,2007
5760,3787,430,16,104191345,6331983,9993,2102273,12094777,735264809,1156958,1597151,Southwest Airlines Co.,2007
657,4675,5468,,36043840,4226028,10800,1266355,5035103,242279090,422305,2453029,Expressjet Airlines Inc.,2007
5421,2263,3602,1,18121731,3098114,11287,1777089,3489825,115405015,282585,684266,Mesa Airlines Inc.,2007
4329,1932,838,1,18087026,1045552,7100,908509,1726803,118168788,254322,662837,Pinnacle Airlines Inc.,2008
9609,5495,2334,2,83023691,7381323,17440,2821907,7802966,637069849,585485,2987319,American Airlines Inc.,2008
42,,,,479657,-22393,42,8727,-10844,3324846,7752,989,Aloha Airlines Inc.,2008
1222,865,52,,19577519,713407,2139,481833,1020350,144742019,148492,379500,Alaska Airlines Inc.,2008
665,2445,95,,28859249,2129427,3205,677621,2440878,215745855,192114,1309542,JetBlue Airways,2008
746,2878,78,,45801055,3226245,3702,996161,3886953,344201013,293855,1917507,Continental Air Lines Inc.,2008
3113,2283,1417,,56346799,3487174,6813,1411220,3564817,416476755,443934,1945194,Delta Air Lines Inc.,2008
1384,2283,1357,2,19197628,2805843,5026,1688969,3285923,124538592,274867,1127930,Atlantic Southeast Airlines,2008
109,192,2,,11609793,582629,303,250971,565097,84291468,95384,356334,Frontier Airlines Inc.,2008
815,976,445,,26915564,2352057,2236,443708,2403285,190280649,258713,1029858,AirTran Airways Corporation,2008
563,7,,,4599037,77397,570,184855,27887,34688791,61212,931,Hawaiian Airlines Inc.,2008
