UniqueCarrier,Year,Flight Count,AirTime,DepDelay,ArrDelay,Distance,CarrierDelay,NASDelay,Cancelled,"('Delay Type', 'A')","('Delay Type', 'B')","('Delay Type', 'C')","('Delay Type', 'D')"
Delta Air Lines Inc.,2006,497279,62214769,4039668,3487025,464314553,1560855,1995875,7695,4502,1999.0,1192.0,2.0
Delta Air Lines Inc.,2007,468323,59924699,3686443,3420181,447856024,1530087,1866371,6521,3207,2300.0,1014.0,
Delta Air Lines Inc.,2008,443934,56346799,3564817,3487174,416476755,1411220,1945194,6813,3113,2283.0,1417.0,
Expressjet Airlines Inc.,2003,321098,24588790,1332807,1679011,159509398,308819,984542,6027,322,1462.0,1715.0,126.0
Expressjet Airlines Inc.,2004,360569,29005381,1921948,2840290,189718254,680607,1987599,6103,450,2917.0,2736.0,
Expressjet Airlines Inc.,2005,393277,32163447,2698243,3497112,213291464,807042,2182174,9353,1429,4266.0,3658.0,
Expressjet Airlines Inc.,2006,429798,35584592,4271628,4608436,236250267,1104644,2566776,9716,542,4121.0,4975.0,78.0
Expressjet Airlines Inc.,2007,422305,36043840,5035103,4226028,242279090,1266355,2453029,10800,657,4675.0,5468.0,
Expressjet Airlines Inc.,2008,363414,32522117,4154705,3865055,220656045,1218009,2074904,9992,697,5424.0,3871.0,
Frontier Airlines Inc.,2005,53014,6522410,303223,185949,48562429,115760,112789,175,77,98.0,,
Frontier Airlines Inc.,2006,89196,10702535,453707,415007,79275188,184844,294499,902,100,802.0,,
Frontier Airlines Inc.,2007,97248,11896861,721561,722736,87466490,279277,405929,398,202,196.0,,
Frontier Airlines Inc.,2008,95384,11609793,565097,582629,84291468,250971,356334,303,109,192.0,2.0,
Hawaiian Airlines Inc.,2003,7792,625505,8062,-1114,4776545,18451,786,37,30,7.0,,
Hawaiian Airlines Inc.,2004,47895,3576679,-10680,-99221,27801132,84816,3751,162,111,44.0,,7.0
Hawaiian Airlines Inc.,2005,48112,3717527,-53692,-110933,28642799,75711,5015,69,64,5.0,,
Hawaiian Airlines Inc.,2006,51913,4012003,-63173,-53574,30675864,111508,2127,253,249,4.0,,
Hawaiian Airlines Inc.,2007,55935,4622763,-49390,-24081,35337234,134564,971,238,238,,,
Hawaiian Airlines Inc.,2008,61212,4599037,27887,77397,34688791,184855,931,570,563,7.0,,
Independence Air,2003,280010,17518495,2638536,1829535,104531297,579592,664771,11012,1580,1570.0,1841.0,
Independence Air,2004,256191,15618351,2932459,1921040,94602968,558152,982632,8287,3435,1761.0,3091.0,
Independence Air,2005,133486,9510047,877846,802266,60671620,230283,475607,2877,1199,980.0,697.0,1.0
JetBlue Airways,2003,66732,11114321,378292,65800,85579777,94645,89760,308,25,64.0,11.0,
JetBlue Airways,2004,89137,15508931,556397,145141,119957986,154135,235188,511,482,29.0,,
JetBlue Airways,2005,109753,19621067,1139506,1185879,150758132,281432,574090,888,888,,,
JetBlue Airways,2006,154265,24477255,1751381,1682970,184301996,400311,941829,659,659,,,
JetBlue Airways,2007,187116,28419146,2767110,2514827,213752433,562553,1433643,3710,1732,1958.0,21.0,
JetBlue Airways,2008,192114,28859249,2440878,2129427,215745855,677621,1309542,3205,665,2445.0,95.0,
Mesa Airlines Inc.,2006,294574,19467488,4206546,3425055,124121170,1815082,642387,9544,4414,2367.0,2763.0,
Mesa Airlines Inc.,2007,282585,18121731,3489825,3098114,115405015,1777089,684266,11287,5421,2263.0,3602.0,1.0
Mesa Airlines Inc.,2008,245131,15837509,2950054,2886462,100334283,1927740,874222,9219,5020,1766.0,2433.0,
Northwest Airlines Inc.,2003,492274,51478199,1077871,966456,368539061,823229,755885,6114,1527,688.0,1224.0,
Northwest Airlines Inc.,2004,500275,52565193,2102740,2858885,375884993,1730237,1570771,6010,2888,1761.0,1361.0,
Northwest Airlines Inc.,2005,472740,50524613,3716396,4172096,365044151,2383235,1593127,6937,4026,1744.0,1167.0,
Northwest Airlines Inc.,2006,427167,46065391,3005005,3439998,330962751,1973299,1386330,4854,3257,921.0,676.0,
Northwest Airlines Inc.,2007,405872,44249534,3630596,5097404,318162390,2276303,1910645,7814,4852,1870.0,1092.0,
Northwest Airlines Inc.,2008,344110,38840572,2228375,2535588,279436146,1478247,1301073,2906,1119,901.0,886.0,
Pinnacle Airlines Inc.,2007,250186,17819046,2285792,2036098,116904239,1127692,757374,7939,5267,1890.0,781.0,1.0
Pinnacle Airlines Inc.,2008,254322,18087026,1726803,1045552,118168788,908509,662837,7100,4329,1932.0,838.0,1.0
Skywest Airlines Inc.,2003,389763,50134199,2125532,891621,130128864,577720,302043,6501,1823,1180.0,614.0,11.0
Skywest Airlines Inc.,2004,452866,45038853,2982997,1721053,158682290,1434313,852465,9784,4680,3732.0,1332.0,40.0
Skywest Airlines Inc.,2005,506998,31488368,2941282,1951749,195573943,1925288,899679,9639,3848,3649.0,2135.0,7.0
Skywest Airlines Inc.,2006,534625,34466728,4729541,4383532,216557423,2582623,1163852,12844,3824,4425.0,4573.0,22.0
Skywest Airlines Inc.,2007,582871,40075342,4848850,5151931,254654475,2730247,1197780,14186,4444,4845.0,4889.0,8.0
Skywest Airlines Inc.,2008,553412,38486157,4137595,3651902,243546417,1678216,1829877,12436,3162,4748.0,4525.0,1.0
Southwest Airlines Co.,2003,947231,76921586,6360097,1954955,533593672,658407,540443,9718,3859,860.0,665.0,2.0
Southwest Airlines Co.,2004,978520,82055879,9955591,6141453,570071702,1609504,1261154,10103,5978,3428.0,681.0,16.0
Southwest Airlines Co.,2005,1025637,89969212,10423665,5472277,628492880,1704389,1276801,8759,5210,3079.0,469.0,1.0
Southwest Airlines Co.,2006,1088617,97213848,11224333,5490413,682975022,2003472,1382049,8951,6112,2345.0,490.0,4.0
Southwest Airlines Co.,2007,1156958,104191345,12094777,6331983,735264809,2102273,1597151,9993,5760,3787.0,430.0,16.0
Southwest Airlines Co.,2008,1186911,108958467,12349540,6147817,763307895,2261002,1718542,12389,6554,5167.0,666.0,2.0
US Airways Inc.,2003,404988,39191573,1693836,1710304,274720596,400381,817852,6358,1732,722.0,919.0,
US Airways Inc.,2004,412376,40549570,2830401,1847023,284748509,918432,1371341,6779,3673,1549.0,1549.0,8.0
US Airways Inc.,2005,416461,41245827,3515474,2765386,288955635,1110119,1530224,8426,4075,1968.0,2380.0,3.0
US Airways Inc.,2006,498314,58408068,3939983,3303384,424539071,1406804,1781181,5511,3046,1296.0,1169.0,
US Airways Inc.,2007,475583,55616805,5787520,5482173,404932885,2042191,2192671,8942,5594,1900.0,1448.0,
US Airways Inc.,2008,446086,53474220,2556181,1270502,388224541,1109335,1567919,6582,3857,1131.0,1594.0,
United Air Lines Inc.,2003,537178,73663765,2512578,1672723,565395453,634451,1330959,5919,1245,721.0,1014.0,
United Air Lines Inc.,2004,548264,77385867,3978918,3276400,592067318,1298538,2485800,6548,3848,1301.0,1399.0,
United Air Lines Inc.,2005,478744,69565580,4612759,3619476,532116122,1575285,1862790,6296,3288,2385.0,623.0,
United Air Lines Inc.,2006,488682,71330736,5831704,5132362,548162230,1651083,2206017,10238,5879,3301.0,1058.0,
United Air Lines Inc.,2007,477090,69030901,6648458,6084387,529872242,1838180,2262296,11929,7348,3554.0,1027.0,
United Air Lines Inc.,2008,437979,63520170,6196282,4945362,484785762,1720150,2047161,10541,6352,2987.0,1202.0,
